phase:	PC:	ProgramByte:	Instr:	Oprnd:	RAM	Addr:	Data Bus:	Accu:	C:	Z:	Out:	In:
0	8	01000000	0100	0000	000001000000	0000		0000	0	1	1010	xxxx
1	9	01000010	0100	0000	000001000010	0000		0000	0	1	1010	xxxx
0	9	01000010	0100	0000	000001000010	0000		0000	0	1	1010	xxxx
1	10	01000001	0100	0010	001001000001	0010		0000	0	1	1010	xxxx
0	10	01000001	0100	0010	001001000001	0010		0010	0	0	1010	xxxx
1	11	00100001	0100	0001	000100100001	0001		0010	0	0	1010	xxxx
0	11	00100001	0100	0001	000100100001	0001		0001	0	0	1010	xxxx
1	12	10000000	0010	0001	000110000000	0001		0001	0	0	1010	xxxx
0	12	10000000	0010	0001	000110000000	0001		0001	0	1	1010	xxxx
1	13	00000101	1000	0000	000000000101	0001		0001	0	1	1010	xxxx
0	5	01001010	1000	0000	000001001010	0001		0001	0	1	1010	xxxx
1	6	11010000	0100	1010	101011010000	1010		0001	0	1	1010	xxxx
0	6	11010000	0100	1010	101011010000	1010		1010	0	0	1010	xxxx
1	7	01000000	1101	0000	000001000000	1010		1010	0	0	1010	xxxx
0	7	01000000	1101	0000	000001000000	1010		1010	0	0	1010	xxxx
1	8	01000000	0100	0000	000001000000	0000		1010	0	0	1010	xxxx
0	8	01000000	0100	0000	000001000000	0000		0000	0	1	1010	xxxx

